Time(s)	Conductance(uS)
102.103000	16.382300
102.203000	16.382300
102.303000	16.382300
102.403000	16.382300
102.503000	16.382300
102.603000	16.250000
102.703000	16.250000
102.803000	16.250000
102.903000	16.382300
103.003000	16.382300
103.103000	16.514800
103.203000	15.332600
103.303000	16.514800
103.403000	16.780800
103.503000	17.048100
103.603000	17.048100
103.703000	17.048100
103.803000	16.780800
103.903000	14.429500
104.003000	10.954400
104.103000	16.647700
104.203000	16.647700
104.303000	16.647700
104.403000	16.647700
104.503000	16.647700
104.603000	16.647700
104.703000	16.647700
104.803000	16.647700
104.903000	16.514800
105.003000	16.647700
105.103000	16.647700
105.203000	16.647700
105.303000	16.514800
105.403000	16.514800
105.503000	16.647700
105.603000	16.514800
105.703000	16.514800
105.803000	16.647700
105.903000	16.514800
106.003000	16.514800
106.103000	16.514800
106.203000	16.514800
106.303000	16.514800
106.403000	16.514800
106.503000	16.514800
106.603000	16.514800
106.703000	16.514800
106.803000	16.514800
106.903000	16.514800
107.003000	16.514800
107.103000	16.514800
107.203000	16.514800
107.303000	16.382300
107.403000	16.514800
107.503000	16.514800
107.603000	16.382300
107.703000	16.514800
107.803000	16.382300
107.903000	16.382300
108.003000	16.382300
108.103000	16.250000
108.203000	16.382300
108.303000	16.250000
108.403000	16.382300
108.503000	16.382300
108.603000	16.250000
108.703000	16.382300
108.803000	16.250000
108.903000	15.986400
109.003000	16.250000
109.103000	16.118000
109.203000	15.724000
109.303000	16.250000
109.403000	15.855000
109.503000	15.593200
109.603000	16.118000
109.703000	15.724000
109.803000	15.332600
109.903000	15.855000
110.003000	15.462800
110.103000	15.202700
110.203000	15.593200
110.303000	15.332600
110.403000	15.073100
110.503000	15.462800
110.603000	15.202700
110.703000	15.073100
110.803000	15.202700
110.903000	15.073100
111.003000	15.332600
111.103000	15.202700
111.203000	15.073100
111.303000	15.332600
111.403000	15.202700
111.503000	15.073100
111.603000	15.332600
111.703000	15.073100
111.803000	14.814800
111.903000	14.943800
112.003000	14.814800
112.103000	14.814800
112.203000	14.943800
112.303000	14.814800
112.403000	14.686100
112.503000	14.814800
112.603000	14.686100
112.703000	14.686100
112.803000	14.686100
112.903000	14.686100
113.003000	14.557700
113.103000	14.686100
113.203000	14.557700
113.303000	14.557700
113.403000	14.557700
113.503000	14.429500
113.603000	14.429500
113.703000	14.557700
113.803000	14.429500
113.903000	14.429500
114.003000	14.429500
114.103000	14.429500
114.203000	14.429500
114.303000	14.429500
114.403000	14.301700
114.503000	14.429500
114.603000	14.429500
114.703000	14.429500
114.803000	14.429500
114.903000	14.429500
115.003000	14.429500
115.103000	14.429500
115.203000	14.301700
115.303000	14.301700
115.403000	14.429500
115.503000	14.301700
115.603000	14.301700
115.703000	14.301700
115.803000	14.301700
115.903000	14.429500
116.003000	14.046800
116.103000	14.046800
116.203000	14.046800
116.303000	14.174100
116.403000	14.301700
116.503000	14.301700
116.603000	14.301700
116.703000	14.301700
116.803000	14.301700
116.903000	14.301700
117.003000	14.301700
117.103000	14.301700
117.203000	14.301700
117.303000	14.301700
117.403000	14.301700
117.503000	14.301700
117.603000	14.301700
117.703000	14.301700
117.803000	14.301700
117.903000	14.301700
118.003000	14.301700
118.103000	14.301700
118.203000	14.301700
118.303000	14.301700
118.403000	14.301700
118.503000	14.301700
118.603000	14.301700
118.703000	14.301700
118.803000	14.301700
118.903000	14.301700
119.003000	14.301700
119.103000	14.301700
119.203000	14.301700
119.303000	14.301700
119.403000	14.301700
119.503000	14.174100
119.603000	14.301700
119.703000	14.301700
119.803000	14.301700
119.903000	14.301700
120.003000	14.301700
120.103000	14.301700
120.203000	14.429500
120.303000	14.429500
120.403000	14.429500
120.503000	14.429500
120.603000	14.429500
120.703000	14.046800
120.803000	14.429500
120.903000	14.429500
121.003000	14.301700
121.103000	14.557700
121.203000	14.557700
121.303000	14.557700
121.403000	14.686100
121.503000	14.557700
121.603000	14.686100
121.703000	14.814800
121.803000	14.557700
121.903000	14.686100
122.003000	14.943800
122.103000	14.686100
122.203000	14.814800
122.303000	14.943800
122.403000	14.814800
122.503000	14.943800
122.603000	15.073100
122.703000	14.814800
122.803000	15.073100
122.903000	15.202700
123.003000	14.943800
123.103000	15.073100
123.203000	15.332600
123.303000	15.073100
123.403000	15.073100
123.503000	14.943800
123.603000	14.814800
123.703000	15.073100
123.803000	14.301700
123.903000	15.202700
124.003000	15.462800
124.103000	15.202700
124.203000	15.332600
124.303000	15.593200
124.403000	15.332600
124.503000	15.202700
124.603000	15.462800
124.703000	15.332600
124.803000	15.462800
124.903000	15.593200
125.003000	15.462800
125.103000	15.462800
125.203000	15.593200
125.303000	15.462800
125.403000	15.462800
125.503000	15.462800
125.603000	14.814800
125.703000	12.048200
125.803000	15.073100
125.903000	9.881800
126.003000	15.073100
126.103000	15.202700
126.203000	1.488100
126.303000	5.138700
126.403000	15.724000
126.503000	13.038700
126.603000	15.462800
126.703000	15.462800
126.803000	15.332600
126.903000	15.332600
127.003000	15.202700
127.103000	15.202700
127.203000	15.332600
127.303000	15.202700
127.403000	15.332600
127.503000	15.202700
127.603000	15.202700
127.703000	15.332600
127.803000	15.202700
127.903000	15.202700
128.003000	15.202700
128.103000	15.202700
128.203000	15.202700
128.303000	14.429500
128.403000	13.793100
128.503000	13.919800
128.603000	13.163700
128.703000	14.943800
128.803000	14.814800
128.903000	15.073100
129.003000	15.073100
129.103000	15.073100
129.203000	14.943800
129.303000	15.073100
129.403000	15.073100
129.503000	4.387800
129.603000	15.462800
129.703000	15.332600
129.803000	15.462800
129.903000	15.202700
130.003000	15.202700
130.103000	15.073100
130.203000	15.073100
130.303000	15.073100
130.403000	14.943800
130.503000	15.073100
130.603000	14.943800
130.703000	14.686100
130.803000	1.994000
130.903000	15.202700
131.003000	14.686100
131.103000	12.541300
131.203000	14.557700
131.303000	12.913900
131.403000	13.919800
131.503000	13.414600
131.603000	13.163700
131.703000	13.540500
131.803000	13.289000
131.903000	12.913900
132.003000	13.163700
132.103000	12.913900
132.203000	12.913900
132.303000	13.038700
132.403000	12.913900
132.503000	12.913900
132.603000	13.038700
132.703000	12.913900
132.803000	11.925600
132.903000	10.237100
133.003000	11.925600
133.103000	13.540500
133.203000	13.666700
133.303000	13.540500
133.403000	13.666700
133.503000	13.666700
133.603000	13.540500
133.703000	13.540500
133.803000	13.414600
133.903000	13.414600
134.003000	13.414600
134.103000	13.414600
134.203000	13.414600
134.303000	13.414600
134.403000	13.414600
134.503000	13.414600
134.603000	13.414600
134.703000	13.414600
134.803000	13.414600
134.903000	13.414600
135.003000	13.414600
135.103000	13.414600
135.203000	13.414600
135.303000	13.414600
135.403000	13.414600
135.503000	13.414600
135.603000	13.540500
135.703000	13.540500
135.803000	13.540500
135.903000	13.540500
136.003000	13.666700
136.103000	13.540500
136.203000	13.666700
136.303000	13.666700
136.403000	13.666700
136.503000	13.666700
136.603000	13.666700
136.703000	13.666700
136.803000	13.793100
136.903000	13.666700
137.003000	13.793100
137.103000	14.046800
137.203000	13.793100
137.303000	14.046800
137.403000	14.174100
137.503000	14.046800
137.603000	14.174100
137.703000	14.429500
137.803000	14.301700
137.903000	14.429500
138.003000	14.557700
138.103000	14.429500
138.203000	14.557700
138.303000	14.557700
138.403000	14.557700
138.503000	14.557700
138.603000	14.814800
138.703000	14.686100
138.803000	14.814800
138.903000	14.814800
139.003000	14.814800
139.103000	14.814800
139.203000	14.686100
